Designator,Mid X,Mid Y,Rotation,Layer
C1,107.8,-78.550069,270.0,top
C2,109.6,-78.550069,90.0,top
D1,99.550068,-55.15252,225.0,top
D2,107.604327,-55.15252,225.0,top
D3,107.604327,-51.195673,225.0,top
D4,103.577198,-59.15252,225.0,top
D5,103.577198,-55.15252,225.0,top
D6,99.550068,-59.15252,225.0,top
D7,103.577198,-51.195673,225.0,top
D8,107.604327,-59.15252,225.0,top
D9,99.550068,-51.195673,225.0,top
R1,109.8,-74.050069,90.0,top
R10,98.0,-78.575069,270.0,top
R2,97.4,-73.950069,90.0,top
R3,106.933333,-64.350069,90.0,top
R4,105.266667,-64.350069,90.0,top
R5,103.6,-64.350069,90.0,top
R6,101.933333,-64.350069,90.0,top
R7,98.6,-64.350069,90.0,top
R8,100.266667,-64.350069,90.0,top
R9,108.6,-64.350069,90.0,top
SW1,103.3,-46.1,0.0,top
U1,103.6,-71.550069,180.0,top
